product_id,name,category,price,stock,supplier_id
1,Galaxy S23,Smartphones,1523,57,2
2,iPhone 14,Smartphones,584,33,2
3,Pixel 7,Smartphones,530,26,13
4,Xiaomi 13,Smartphones,882,99,15
5,OnePlus 11,Smartphones,850,67,5
6,MacBook Air,Laptops,1176,9,20
7,Dell XPS,Laptops,750,80,2
8,HP Spectre,Laptops,138,92,14
9,Lenovo ThinkPad,Laptops,1015,41,18
10,Asus ROG,Laptops,1132,54,7
11,Wireless Mouse,Accessories,1663,9,13
12,Keyboard,Accessories,293,49,18
13,USB-C Cable,Accessories,441,61,9
14,HDMI Adapter,Accessories,1670,34,4
15,Power Bank,Accessories,1599,59,17
16,Google Nest,Smart Home Devices,1609,37,13
17,Amazon Echo,Smart Home Devices,209,14,21
18,Philips Hue,Smart Home Devices,72,89,9
19,Ring Doorbell,Smart Home Devices,419,2,2
20,Smart Plug,Smart Home Devices,1874,45,8
21,Apple Watch,Wearables,1646,98,17
22,Fitbit Charge,Wearables,716,38,3
23,Samsung Galaxy Watch,Wearables,1964,35,11
24,Garmin Venu,Wearables,14,32,7
25,Huawei Band,Wearables,257,36,6
